"Stem","Orders_Sum","WordsOfStem_Visits","StemC"
"126","8","cat bowl(126)","cat bowl"
"126","27","thrive(126)","thrive"
"126","12","yeowww(126)","yeowww"
"125","3","car har(125)","car har"
"125","1","hamster home(125)","hamster home"
"125","5","heat(125)","heat"
"124","6","cat shampoo(124)","cat shampoo"
"124","18","senior dog food(124)","senior dog food"
"123","20","cat nip(123)","cat nip"
"123","9","chihuahua(123)","chihuahua"
"123","8","gourmet cat(123)","gourmet cat"
"123","12","pettex cat litter(123)","pettex cat litter"
"123","1","terrapin(123)","terrapin"
"122","0","gold fish(122)","gold fish"
"122","6","nail clipper(122)","nail clipper"
"122","2","thermostat(122)","thermostat"
"121","7","naturediet(121)","naturediet"
"121","0","turtl(121)","turtl"
"120","12","puppi train pad(120)","puppi train pad"
"119","5","cat feeder(119)","cat feeder"
"119","20","dog bone(119)","dog bone"
"119","6","jumper(119)","jumper"
"119","11","proplan(119)","proplan"
"119","4","puppi har(119)","puppi har"
"119","7","rabbit bed(119)","rabbit bed"
"119","3","rabbit run(119)","rabbit run"
"119","16","scienc plan hill(119)","scienc plan hill"
"118","19","bark head dog(118)","bark head dog"
"118","5","dog car har(118)","dog car har"
"118","19","webbox(118)","webbox"
"117","21","arden grang puppi(117)","arden grang puppi"
"117","31","dental chew(117)","dental chew"
"117","15","harrington dog(117)","harrington dog"
"117","13","wainwright christma(117)","wainwright christma"
"116","7","fleec(116)","fleec"
"116","14","hypoallergen dog food(116)","hypoallergen dog food"
"116","21","sleepeazi(116)","sleepeazi"
"115","9","treat ball(115)","treat ball"
"114","9","cat flea(114)","cat flea"
"114","5","dog bed(114)","dog bed"
"114","5","ezydog(114)","ezydog"
"114","5","har dog har(114)","har dog har"
"114","18","sheba cat food(114)","sheba cat food"
"113","4","dog pen(113)","dog pen"
"113","11","plaqu off(113)","plaqu off"
"113","20","poo bag(113)","poo bag"
"113","14","whimze(113)","whimze"
"112","6","bird feeder(112)","bird feeder"
"112","9","gingerbread man(112)","gingerbread man"
"112","16","pooch and mutt(112)","pooch and mutt"
"112","22","royal canin sensibl(112)","royal canin sensibl"
"112","10","treat bag(112)","treat bag"
"111","7","cat brush(111)","cat brush"
"111","6","cat scratcher(111)","cat scratcher"
"111","18","chudley(111)","chudley"
"111","1","dog kennel(111)","dog kennel"
"111","28","whiska pouch(111)","whiska pouch"
"110","11","anxieti(110)","anxieti"
"110","8","automat feeder(110)","automat feeder"
"110","3","fish tank filter(110)","fish tank filter"
"110","8","greyhound(110)","greyhound"
"110","7","hay rack(110)","hay rack"
"110","19","woodland(110)","woodland"
"109","7","collar dog(109)","collar dog"
"109","13","crate mat(109)","crate mat"
"109","9","memori foam(109)","memori foam"
"109","19","wainwright dog food(109)","wainwright dog food"
"108","11","cleaner(108)","cleaner"
"108","7","dog sock(108)","dog sock"
"108","7","ear(108)","ear"
"108","14","fishmong finest(108)","fishmong finest"
"108","2","microchip cat flap(108)","microchip cat flap"
"108","5","rabbit toy(108)","rabbit toy"
"107","5","cat collar(107)","cat collar"
"107","28","jumbon(107)","jumbon"
"107","8","memori foam bed(107)","memori foam bed"
"107","0","scienc plan urinari cat(107)","scienc plan urinari cat"
"106","1","chameleon(106)","chameleon"
"106","0","dog clipper(106)","dog clipper"
"106","4","dog whistl(106)","dog whistl"
"106","6","ear cleaner(106)","ear cleaner"
"106","16","french bulldog(106)","french bulldog"
"106","1","lizard(106)","lizard"
"106","15","mat(106)","mat"
"106","23","renal(106)","renal"
"105","10","dog towel(105)","dog towel"
"105","8","substrat(105)","substrat"
"104","17","applaw dog food(104)","applaw dog food"
"104","5","bandana(104)","bandana"
"104","8","teeth(104)","teeth"
"104","23","winalot(104)","winalot"
"103","3","birthday cake(103)","birthday cake"
"103","16","dog mat(103)","dog mat"
"103","3","interpet(103)","interpet"
"102","7","cat grass(102)","cat grass"
"102","17","guinea pig food(102)","guinea pig food"
"101","6","anti bark collar(101)","anti bark collar"
"101","7","grain free dog food(101)","grain free dog food"
"101","5","odour remov(101)","odour remov"
"101","10","reflect(101)","reflect"
"100","5","beaphar(100)","beaphar"
"100","4","dog food storag(100)","dog food storag"
"100","24","gastro intestin(100)","gastro intestin"
"100","5","plaqueoff(100)","plaqueoff"
"100","18","reindeer(100)","reindeer"
"100","37","royal canin urinari(100)","royal canin urinari"
"100","0","vet(100)","vet"
"99","3","bird feeder(99)","bird feeder"
"99","3","brush(99)","brush"
"99","9","tap safe(99)","tap safe"
"99","1","terrarium(99)","terrarium"
"98","2","air stone(98)","air stone"
"98","15","cat blanket(98)","cat blanket"
"98","4","christma card(98)","christma card"
"98","10","christma stock(98)","christma stock"
"98","3","dog reflect(98)","dog reflect"
"98","16","duck(98)","duck"
"98","10","probiot(98)","probiot"
"98","5","travel(98)","travel"
"98","24","wafcol(98)","wafcol"
"98","14","wipe(98)","wipe"
"97","14","chinchilla sand(97)","chinchilla sand"
"97","6","dog boot(97)","dog boot"
"97","4","dog light(97)","dog light"
"97","4","dog nappi(97)","dog nappi"
"97","8","food bowl(97)","food bowl"
"97","5","get off(97)","get off"
"97","12","hill prescript cat(97)","hill prescript cat"
"97","0","tank(97)","tank"
"96","9","charcoal(96)","charcoal"
"96","7","flea tablet(96)","flea tablet"
"96","19","royal canin light(96)","royal canin light"
"96","10","tag(96)","tag"
"95","10","calm(95)","calm"
"95","0","fish tank heater(95)","fish tank heater"
"95","8","laser(95)","laser"
"95","1","run(95)","run"
"94","6","boot(94)","boot"
"94","8","cat bowl(94)","cat bowl"
"94","7","felliway(94)","felliway"
"94","5","ferplast(94)","ferplast"
"94","9","memori foam dog(94)","memori foam dog"
"94","0","pet gate(94)","pet gate"
"94","4","tube(94)","tube"
"94","11","yumov dog(94)","yumov dog"
"93","3","advent calendar christma(93)","advent calendar christma"
"93","1","calend(93)","calend"
"93","15","christma dog toy(93)","christma dog toy"
"93","3","coat(93)","coat"
"93","7","elizabethan collar(93)","elizabethan collar"
"93","25","renal cat food(93)","renal cat food"
"93","18","royal canin pug(93)","royal canin pug"
"93","2","tortois tabl(93)","tortois tabl"
"93","16","whiska cat(93)","whiska cat"
"92","10","beta puppi food(92)","beta puppi food"
"92","0","corn snake(92)","corn snake"
"92","4","fish tank pump(92)","fish tank pump"
"92","1","gerbil cage(92)","gerbil cage"
"92","9","glucosamin(92)","glucosamin"
"92","4","gourmet perl(92)","gourmet perl"
"92","6","tag(92)","tag"
"91","10","ball thrower(91)","ball thrower"
"91","32","metabol(91)","metabol"
"90","9","bird food(90)","bird food"
"90","4","catit(90)","catit"
"90","6","fountain(90)","fountain"
"90","2","kennel(90)","kennel"
"90","25","main coon(90)","main coon"
"90","8","salmon oil(90)","salmon oil"
"90","10","sensit dog food(90)","sensit dog food"
"90","6","whisker(90)","whisker"
"89","7","dog ear cleaner(89)","dog ear cleaner"
"89","9","food storag contain(89)","food storag contain"
"89","16","misfit(89)","misfit"
"89","14","mixer(89)","mixer"
"89","11","poop(89)","poop"
"88","5","advent caland(88)","advent caland"
"88","11","dog beer(88)","dog beer"
"88","7","dog jacket(88)","dog jacket"
"88","18","hill prescript diet cat treat(88)","hill prescript diet cat treat"
"88","4","natur best(88)","natur best"
"88","11","rabbit litter(88)","rabbit litter"
"87","7","bowl dog(87)","bowl dog"
"87","4","crate dog(87)","crate dog"
"87","20","dental(87)","dental"
"87","4","dog calm(87)","dog calm"
"87","4","flash dog collar(87)","flash dog collar"
"87","12","good boy(87)","good boy"
"87","24","hill id(87)","hill id"
"87","1","muzzl dog muzzl(87)","muzzl dog muzzl"
"87","0","syrian hamster(87)","syrian hamster"
"87","17","treat(87)","treat"
"86","0","castl(86)","castl"
"86","13","royal canin labrador(86)","royal canin labrador"
"86","1","scratch post cat(86)","scratch post cat"
"86","5","spot on(86)","spot on"
"86","8","wainwright 15kg dog(86)","wainwright 15kg dog"
"86","13","yumega(86)","yumega"
"85","8","boutiqu luxuri(85)","boutiqu luxuri"
"85","3","flash collar(85)","flash collar"
"85","11","gravi(85)","gravi"
"85","4","rabbit litter tray(85)","rabbit litter tray"
"85","4","royal canin mini adult(85)","royal canin mini adult"
"85","8","teddi(85)","teddi"
"84","5","advent calendar(84)","advent calendar"
"84","2","agil(84)","agil"
"84","5","beta food(84)","beta food"
"84","1","crest gecko(84)","crest gecko"
"84","13","light up ball(84)","light up ball"
"84","30","marki(84)","marki"
"84","12","scienc plan felin(84)","scienc plan felin"
"84","9","vet collar(84)","vet collar"
"83","10","cod liver oil(83)","cod liver oil"
"83","3","dog seat belt(83)","dog seat belt"
"83","12","hairbal(83)","hairbal"
"83","15","mealworm(83)","mealworm"
"83","4","repelz dog coat(83)","repelz dog coat"
"83","4","roma 125 cabinet(83)","roma 125 cabinet"
"83","6","step(83)","step"
"83","4","waterproof bed(83)","waterproof bed"
"83","8","wet dog food(83)","wet dog food"
"83","11","wrap paper(83)","wrap paper"
"82","9","bow tie(82)","bow tie"
"82","11","christma pud(82)","christma pud"
"82","5","flexi lead(82)","flexi lead"
"82","14","johnson(82)","johnson"
"82","14","kitten milk(82)","kitten milk"
"82","6","raw(82)","raw"
"82","2","waterproof dog coat(82)","waterproof dog coat"
"81","6","calm tablet(81)","calm tablet"
"81","3","cat basket(81)","cat basket"
"81","15","parrot food(81)","parrot food"
"81","5","radiat bed(81)","radiat bed"
"80","15","christma toy(80)","christma toy"
"80","11","clean(80)","clean"
"80","10","coconut(80)","coconut"
"80","5","flea powder(80)","flea powder"
"80","8","food contain(80)","food contain"
"80","5","hamster treat(80)","hamster treat"
"80","7","pet corrector(80)","pet corrector"
"80","7","scratch(80)","scratch"
"80","9","spray(80)","spray"
"80","12","teddi oval bed(80)","teddi oval bed"
"80","10","yumov dog joint(80)","yumov dog joint"
"79","7","anti gulp bowl(79)","anti gulp bowl"
"79","17","arden grang cat(79)","arden grang cat"
"79","13","dog bone(79)","dog bone"
"79","11","dog step(79)","dog step"
"79","3","hill prescript dog(79)","hill prescript dog"
"79","18","hypoallergen(79)","hypoallergen"
"79","0","train lead(79)","train lead"
"79","20","wafcol dog food(79)","wafcol dog food"
"78","16","countri hunter(78)","countri hunter"
"78","17","dri cat food(78)","dri cat food"
"78","10","felix senior(78)","felix senior"
"78","4","hedgehog hous(78)","hedgehog hous"
"78","10","monkey(78)","monkey"
"78","4","muzzl dog(78)","muzzl dog"
"78","0","pet(78)","pet"
"78","2","uvb(78)","uvb"
"78","7","whelp box(78)","whelp box"
"77","6","adaptil refil(77)","adaptil refil"
"77","3","dog har(77)","dog har"
"77","8","dog rock(77)","dog rock"
"77","2","half check collar(77)","half check collar"
"77","4","pet carrier(77)","pet carrier"
"77","6","pure(77)","pure"
"77","6","sensit(77)","sensit"
"77","9","slow feeder(77)","slow feeder"
"77","5","wormer(77)","wormer"
"76","0","advent calendar cat(76)","advent calendar cat"
"76","13","bark head puppi(76)","bark head puppi"
"76","5","car seat(76)","car seat"
"76","7","cat toy(76)","cat toy"
"76","8","ear drop dog(76)","ear drop dog"
"76","2","flea bomb(76)","flea bomb"
"76","13","peanut butter(76)","peanut butter"
"76","13","placemat(76)","placemat"
"76","11","ruffer tuffer(76)","ruffer tuffer"
"76","12","scoop(76)","scoop"
"75","1","bird cage(75)","bird cage"
"75","0","bird tabl(75)","bird tabl"
"75","1","cat hous(75)","cat hous"
"75","4","cat litter tray(75)","cat litter tray"
"75","6","diarrhoea(75)","diarrhoea"
"75","9","dog toothpast(75)","dog toothpast"
"75","2","heat dog bed(75)","heat dog bed"
"75","4","pedigre puppi(75)","pedigre puppi"
"75","9","puppi shampoo(75)","puppi shampoo"
"75","15","royal canin cocker(75)","royal canin cocker"
"75","8","royal canin mini junior(75)","royal canin mini junior"
"75","14","santa(75)","santa"
"75","4","tick(75)","tick"
"74","7","anti bark(74)","anti bark"
"74","6","box(74)","box"
"74","10","cat christma(74)","cat christma"
"74","2","dog pant(74)","dog pant"
"74","11","extend dog lead(74)","extend dog lead"
"74","4","gerbilarium(74)","gerbilarium"
"74","5","labrador(74)","labrador"
"74","5","pedigre dentastix(74)","pedigre dentastix"
"74","5","snuggl(74)","snuggl"
"73","3","car safeti har(73)","car safeti har"
"73","6","dog ball(73)","dog ball"
"73","6","dog bandana(73)","dog bandana"
"73","2","feeder(73)","feeder"
"73","4","nappi(73)","nappi"
