"Visits_sum","Orders_Sum","WordsOfStem_Visits"
"57","6","pedigre pouch(57)"
"57","0","plant(57)"
"57","4","puppi bed(57)"
"57","2","rabbit cage(57)"
"57","2","retract lead(57)"
"57","1","reward(57)"
"57","1","shrimp(57)"
"57","1","tropic fish tank(57)"
"57","3","vitalin(57)"
"57","7","well grain free(57)"
"57","21","zd(57)"
"56","1","aquarium heater(56)"
"56","3","bath sand(56)"
"56","9","feed mat(56)"
"56","5","frisbe(56)"
"56","4","guinea pig bed(56)"
"56","2","hypoallergen cat food(56)"
"56","6","laser toy(56)"
"56","10","oval cushion(56)"
"56","7","pooper scooper(56)"
"56","13","rabbit nugget(56)"
"56","6","santa hat(56)"
"56","5","senior cat(56)"
"56","2","sock(56)"
"56","7","tenni ball(56)"
"56","1","uv(56)"
"56","6","willow(56)"
"55","3","boot(55)"
"55","3","button and bear(55)"
"55","3","cat cloth(55)"
"55","4","dog boot dog(55)"
"55","3","dog spray(55)"
"55","2","larg dog bed(55)"
"55","4","moss(55)"
"55","5","odour(55)"
"55","5","peanut wild bird(55)"
"55","5","rogz(55)"
"55","13","whiska kitten(55)"
"54","8","3 peak dog(54)"
"54","3","calm spray(54)"
"54","2","chinchilla cage(54)"
"54","5","cocker spaniel(54)"
"54","4","diffus(54)"
"54","5","dog coat dog(54)"
"54","4","dog wormer(54)"
"54","3","fishmong dog food(54)"
"54","2","flea treatment(54)"
"54","16","hay small anim(54)"
"54","4","hous of paw(54)"
"54","6","inflat collar(54)"
"54","10","pet wipe(54)"
"54","4","puppi collar(54)"
"54","5","rat food(54)"
"54","12","sawdust bed(54)"
"54","7","spaniel bowl(54)"
"54","0","stick insect(54)"
"54","6","tin cat food(54)"
"54","7","vetzym(54)"
"53","4","bark(53)"
"53","4","beagl(53)"
"53","20","breeder celect(53)"
"53","2","cat repel(53)"
"53","6","catnip spray(53)"
"53","1","christma fish(53)"
"53","9","christma treat(53)"
"53","1","diaper(53)"
"53","7","diaper(53)"
"53","5","ear(53)"
